epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2261.54,1.33917,0.93148,1.20284,0.79484,0.73183,0.80209,0.41671,1.77615,1.4156,1.41424,0.0059041,0.0059041,0.0059041
43,2314.82,1.28895,0.90675,1.1826,0.84191,0.7826,0.87245,0.568,1.28975,0.9026,1.19341,0.0058042,0.0058042,0.0058042
44,2368.04,1.29212,0.90881,1.19473,0.81167,0.75915,0.85144,0.56898,1.26375,0.98421,1.23451,0.0057043,0.0057043,0.0057043
45,2422.57,1.2278,0.87953,1.15264,0.82678,0.81363,0.8752,0.60073,1.13596,0.85125,1.1493,0.0056044,0.0056044,0.0056044
46,2475.65,1.22623,0.87284,1.15597,0.8288,0.81336,0.89144,0.60775,1.13468,0.79521,1.13725,0.0055045,0.0055045,0.0055045
47,2529.04,1.2353,0.86775,1.16661,0.8511,0.76396,0.86641,0.50826,1.45364,0.91599,1.28771,0.0054046,0.0054046,0.0054046
48,2582.61,1.2451,0.89529,1.1559,0.81732,0.82461,0.87514,0.61233,1.08906,0.85554,1.131,0.0053047,0.0053047,0.0053047
49,2636.27,1.2004,0.85039,1.14172,0.84302,0.83078,0.89482,0.61304,1.1262,0.78189,1.13402,0.0052048,0.0052048,0.0052048
50,2689.84,1.1937,0.8253,1.13272,0.85659,0.8036,0.89114,0.64937,1.03956,0.7435,1.11168,0.0051049,0.0051049,0.0051049
51,2743.45,1.20938,0.85553,1.14264,0.84082,0.82627,0.89126,0.64219,1.01467,0.76546,1.09445,0.005005,0.005005,0.005005
52,2796.46,1.21508,0.84205,1.13914,0.87855,0.79465,0.89307,0.64123,1.04216,0.74104,1.09194,0.0049051,0.0049051,0.0049051
53,2849.62,1.18308,0.82214,1.14114,0.85938,0.82053,0.89774,0.65785,0.98269,0.78082,1.08264,0.0048052,0.0048052,0.0048052
54,2903.06,1.17536,0.80545,1.1309,0.85196,0.82629,0.89602,0.6628,0.98759,0.75721,1.08954,0.0047053,0.0047053,0.0047053
55,2956.36,1.16412,0.79235,1.11663,0.85145,0.8432,0.90793,0.64889,1.04588,0.73966,1.11192,0.0046054,0.0046054,0.0046054
56,3009.28,1.18317,0.80175,1.12861,0.86017,0.80319,0.89311,0.66154,0.96369,0.75059,1.08565,0.0045055,0.0045055,0.0045055
57,3062.55,1.18603,0.81167,1.134,0.8794,0.82267,0.90867,0.67404,0.9413,0.72335,1.06036,0.0044056,0.0044056,0.0044056
58,3115.1,1.12799,0.77051,1.11909,0.85839,0.83336,0.91318,0.67127,0.99175,0.7072,1.07687,0.0043057,0.0043057,0.0043057
59,3168.06,1.16478,0.78741,1.12682,0.86635,0.81164,0.9007,0.67067,0.96161,0.74032,1.07894,0.0042058,0.0042058,0.0042058
60,3221.05,1.12735,0.76629,1.09771,0.87329,0.82315,0.90828,0.68271,0.9252,0.68287,1.05248,0.0041059,0.0041059,0.0041059
61,3274.03,1.14184,0.78477,1.11897,0.89316,0.7993,0.90011,0.67848,0.9426,0.71375,1.05512,0.004006,0.004006,0.004006
62,3327.14,1.11295,0.75485,1.10475,0.85013,0.83222,0.90576,0.68562,0.92159,0.69047,1.05473,0.0039061,0.0039061,0.0039061
63,3378.32,1.12746,0.76119,1.10449,0.874,0.82502,0.90705,0.68841,0.94874,0.73274,1.06692,0.0038062,0.0038062,0.0038062
64,3429.19,1.11557,0.75628,1.11196,0.87712,0.82139,0.90412,0.67739,0.96945,0.70786,1.06847,0.0037063,0.0037063,0.0037063
65,3482.44,1.11149,0.74603,1.10411,0.87961,0.83746,0.91476,0.68849,0.92143,0.6668,1.04806,0.0036064,0.0036064,0.0036064
66,3535.67,1.15916,0.76987,1.1237,0.87607,0.80045,0.90259,0.68144,0.92212,0.70356,1.05111,0.0035065,0.0035065,0.0035065
67,3589.08,1.15687,0.77544,1.13481,0.8563,0.83057,0.90292,0.6729,0.94287,0.68122,1.06423,0.0034066,0.0034066,0.0034066
68,3638.93,1.1107,0.74503,1.10383,0.86196,0.82889,0.90846,0.69434,0.90026,0.67498,1.03988,0.0033067,0.0033067,0.0033067
69,3686.11,1.118,0.73926,1.09769,0.85413,0.82563,0.90729,0.68036,0.95439,0.7142,1.06032,0.0032068,0.0032068,0.0032068
70,3732.63,1.12582,0.7385,1.08939,0.8636,0.82664,0.90943,0.68702,0.90671,0.66362,1.04028,0.0031069,0.0031069,0.0031069
71,3782.83,1.10374,0.7272,1.10515,0.87955,0.8215,0.91292,0.69849,0.89797,0.65534,1.04052,0.003007,0.003007,0.003007
72,3836.47,1.11349,0.74095,1.10188,0.84371,0.84494,0.91424,0.6999,0.8927,0.63863,1.05119,0.0029071,0.0029071,0.0029071
73,3889.87,1.11361,0.73428,1.0961,0.86404,0.84231,0.91399,0.70176,0.88062,0.67663,1.03677,0.0028072,0.0028072,0.0028072
74,3937.08,1.09573,0.72959,1.08727,0.88246,0.8229,0.91502,0.69789,0.89133,0.64442,1.02922,0.0027073,0.0027073,0.0027073
75,3984.21,1.09468,0.71093,1.08032,0.87611,0.83341,0.91759,0.70734,0.86441,0.63703,1.02641,0.0026074,0.0026074,0.0026074
76,4030.93,1.07995,0.69573,1.08832,0.86573,0.86001,0.91971,0.70218,0.88742,0.62725,1.03235,0.0025075,0.0025075,0.0025075
77,4077.47,1.0825,0.69748,1.0741,0.86016,0.83373,0.91027,0.68439,0.8812,0.65477,1.03054,0.0024076,0.0024076,0.0024076
78,4123.81,1.0927,0.69281,1.07737,0.88741,0.83752,0.92016,0.71035,0.85971,0.61848,1.02325,0.0023077,0.0023077,0.0023077
79,4170.72,1.06237,0.68821,1.07006,0.87135,0.81946,0.90955,0.69735,0.89475,0.63342,1.0243,0.0022078,0.0022078,0.0022078
80,4217.58,1.07104,0.69447,1.07772,0.88407,0.83414,0.91798,0.70569,0.85819,0.61428,1.02559,0.0021079,0.0021079,0.0021079
81,4264.43,1.09239,0.70197,1.09226,0.87881,0.84377,0.92057,0.71081,0.84108,0.61742,1.0143,0.002008,0.002008,0.002008
82,4311.33,1.07203,0.681,1.08627,0.87867,0.84845,0.92566,0.72028,0.8546,0.59525,1.02416,0.0019081,0.0019081,0.0019081
83,4358.45,1.05953,0.67737,1.07892,0.87154,0.85047,0.92248,0.71618,0.85766,0.60028,1.02846,0.0018082,0.0018082,0.0018082
84,4405.21,1.05398,0.65776,1.0666,0.88655,0.83098,0.91699,0.71721,0.85671,0.60775,1.02531,0.0017083,0.0017083,0.0017083
85,4451.91,1.04733,0.66933,1.07927,0.85984,0.85218,0.92078,0.71504,0.83764,0.60959,1.00902,0.0016084,0.0016084,0.0016084
86,4498.52,1.06013,0.69679,1.08623,0.87983,0.84687,0.923,0.71155,0.86243,0.59304,1.02079,0.0015085,0.0015085,0.0015085
