path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_8.jpg,test,SANAS_SOCORRO_8,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_376.jpg,train,SANAS_SOCORRO_376,-1,-1,0.9501785039901733,3,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_89.jpg,test,COCO_M_A_89,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_67.jpg,train,COCO_Muy_A_67,-1,-1,0.9413127899169922,21,6,0.2857142857142857,0.0052672876,0.0052672876,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_97.jpg,test,SANAS_NUEVAS_97,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_60.jpg,train,SANAS_NUEVAS_60,-1,-1,0.8784254193305969,26,7,0.2692307692307692,0.14795731,0.12329776,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_Muy_A_20.jpg,train,COCO_Muy_A_20,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_M_A_84.jpg,val,COCO_M_A_84,-1,-1,0.9139108657836914,20,5,0.25,0.0012507393,0.0010943969,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_252.jpg,test,SANAS_NUEVAS_252,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_466.jpg,train,SANAS_SOCORRO_466,-1,-1,0.9359548091888428,31,7,0.22580645161290322,0.16160345,0.12120259,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADO_RECORTES_52.jpg,train,MINADO_RECORTES_52,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINADO_RECORTES_86.jpg,val,MINADO_RECORTES_86,-1,-1,0.8716351985931396,34,11,0.3235294117647059,1.2511439e-05,1.6231874e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_P_A_32.jpg,train,COCO_P_A_32,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_NUEVAS_421.jpg,val,SANAS_NUEVAS_421,-1,-1,0.9153559803962708,10,4,0.4,4.778339e-05,6.371118e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_206.jpg,train,SANAS_SOCORRO_206,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\SANAS_SOCORRO_203.jpg,val,SANAS_SOCORRO_203,-1,-1,0.907467782497406,53,26,0.49056603773584906,0.72635716,0.78688693,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_552.jpg,test,SANAS_NUEVAS_552,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_NUEVAS_556.jpg,train,SANAS_NUEVAS_556,-1,-1,0.9282315969467163,482,426,0.8838174273858921,0.5734872,0.47790605,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_65.jpg,train,SANAS_SOCORRO_65,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_M_A_91.jpg,val,COCO_M_A_91,-1,-1,0.9123739004135132,17,6,0.35294117647058826,0.00011672204,0.00013339662,True
